Hosea 11-12,Hosea 11,Hosea 12,,,
Hosea 13-14,Hosea 13,Hosea 14,,,
Joel 1-3,Joel 1,Joel 2,Joel 3,,
Amos 1-2,Amos 1,Amos 2,,,
Amos 3-4,Amos 3,Amos 4,,,
Amos 5,,,,,
Amos 6-7,Amos 6,Amos 7,,,
Amos 8-9,Amos 8,Amos 9,,,
Obadiah 1,,,,,
Jonah 1-2,Jonah 1,Jonah 2,,,
Jonah 3-4,Jonah 3,Jonah 4,,,
Micah 1-2,Micah 1,Micah 2,,,
Micah 3-4,Micah 3,Micah 4,,,
Micah 5-6,Micah 5,Micah 6,,,
Micah 7,,,,,
Nahum 1-2,Nahum 1,Nahum 2,,,
Nahum 3,,,,,
Habakkuk 1-2,Habakkuk 1,Habakkuk 2,,,
Habakkuk 3,,,,,
Zephaniah 1-2,Zephaniah 1,Zephaniah 2,,,
Zephaniah 3,,,,,
Haggai 1-2,Haggai 1,Haggai 2,,,
Zechariah 1-2,Zechariah 1,Zechariah 2,,,
Zechariah 3-5,Zechariah 3,Zechariah 4,Zechariah 5,,
Zechariah 6-7,Zechariah 6,Zechariah 7,,,
Zechariah 8-9,Zechariah 8,Zechariah 9,,,
Zechariah 10-11,Zechariah 10,Zechariah 11,,,
Zechariah 12-13,Zechariah 12,Zechariah 13,,,
Zechariah 14,,,,,
Malachi 1-2,Malachi 1,Malachi 2,,,
Malachi 3-4,Malachi 3,Malachi 4,,,
Matthew 1,,,,,
Matthew 2,,,,,
Matthew 3,,,,,
Matthew 4,,,,,
Matthew 5:1-20,,,,,
Matthew 5:21-48,,,,,
Matthew 6:1-18,,,,,
Matthew 6:19-34,,,,,
Matthew 7,,,,,
Matthew 8:1-17,,,,,
Matthew 8:18-34,,,,,
Matthew 9:1-17,,,,,
Matthew 9:18-38,,,,,
Matthew 10:1-15,,,,,
Matthew 10:16-42,,,,,
Matthew 11,,,,,
Matthew 12:1-32,,,,,
Matthew 12:33-50,,,,,
